統計区・町丁名,世帯数,人口,男,女,年,月
額乙丸町,606.0,1469.0,694.0,775.0,2021,5
大額町,108.0,230.0,114.0,116.0,2021,5
額谷町,70.0,181.0,83.0,98.0,2021,6
四十万町,867.0,2241.0,1114.0,1127.0,2021,6
三十苅町,662.0,1479.0,711.0,768.0,2021,6
額乙丸町,606.0,1466.0,692.0,774.0,2021,6
大額町,108.0,230.0,114.0,116.0,2021,6
額谷町,70.0,181.0,83.0,98.0,2021,7
四十万町,869.0,2240.0,1112.0,1128.0,2021,7
三十苅町,662.0,1481.0,715.0,766.0,2021,7
額乙丸町,604.0,1466.0,692.0,774.0,2021,7
大額町,108.0,228.0,113.0,115.0,2021,7
額谷町,71.0,182.0,83.0,99.0,2021,8
四十万町,866.0,2233.0,1109.0,1124.0,2021,8
三十苅町,660.0,1470.0,711.0,759.0,2021,8
額乙丸町,606.0,1466.0,698.0,768.0,2021,8
大額町,108.0,228.0,113.0,115.0,2021,8
額谷町,71.0,182.0,83.0,99.0,2021,9
四十万町,870.0,2237.0,1111.0,1126.0,2021,9
三十苅町,662.0,1473.0,711.0,762.0,2021,9
額乙丸町,606.0,1463.0,696.0,767.0,2021,9
大額町,107.0,227.0,112.0,115.0,2021,9
額谷町,70.0,181.0,83.0,98.0,2021,10
四十万町,875.0,2246.0,1113.0,1133.0,2021,10
三十苅町,663.0,1477.0,712.0,765.0,2021,10
額乙丸町,608.0,1466.0,697.0,769.0,2021,10
大額町,106.0,226.0,111.0,115.0,2021,10
額谷町,70.0,181.0,83.0,98.0,2021,11
四十万町,872.0,2248.0,1114.0,1134.0,2021,11
三十苅町,665.0,1482.0,716.0,766.0,2021,11
額乙丸町,606.0,1461.0,696.0,765.0,2021,11
大額町,105.0,224.0,109.0,115.0,2021,11
額谷町,70.0,181.0,83.0,98.0,2021,12
四十万町,871.0,2245.0,1115.0,1130.0,2021,12
三十苅町,664.0,1480.0,715.0,765.0,2021,12
額乙丸町,607.0,1466.0,697.0,769.0,2021,12
大額町,105.0,224.0,109.0,115.0,2021,12
額谷町,70.0,180.0,82.0,98.0,2022,1
四十万町,871.0,2246.0,1117.0,1129.0,2022,1
三十苅町,666.0,1482.0,718.0,764.0,2022,1
額乙丸町,603.0,1460.0,693.0,767.0,2022,1
大額町,104.0,220.0,107.0,113.0,2022,1
額谷町,69.0,179.0,81.0,98.0,2022,2
四十万町,869.0,2235.0,1112.0,1123.0,2022,2
三十苅町,666.0,1482.0,718.0,764.0,2022,2
額乙丸町,607.0,1466.0,695.0,771.0,2022,2
大額町,103.0,219.0,107.0,112.0,2022,2
額谷町,69.0,180.0,82.0,98.0,2022,3
四十万町,867.0,2232.0,1109.0,1123.0,2022,3
三十苅町,671.0,1483.0,718.0,765.0,2022,3
額乙丸町,611.0,1472.0,700.0,772.0,2022,3
大額町,103.0,219.0,107.0,112.0,2022,3
額谷町,69.0,180.0,82.0,98.0,2022,4
四十万町,867.0,2229.0,1106.0,1123.0,2022,4
三十苅町,671.0,1473.0,712.0,761.0,2022,4
額乙丸町,613.0,1468.0,696.0,772.0,2022,4
大額町,104.0,220.0,107.0,113.0,2022,4
額谷町,69.0,179.0,81.0,98.0,2022,5
四十万町,870.0,2233.0,1111.0,1122.0,2022,5
三十苅町,678.0,1488.0,719.0,769.0,2022,5
額乙丸町,614.0,1467.0,694.0,773.0,2022,5
大額町,104.0,220.0,107.0,113.0,2022,5
額谷町,69.0,179.0,81.0,98.0,2022,6
四十万町,872.0,2235.0,1113.0,1122.0,2022,6
三十苅町,681.0,1489.0,718.0,771.0,2022,6
額乙丸町,612.0,1458.0,688.0,770.0,2022,6
大額町,104.0,222.0,108.0,114.0,2022,6
額谷町,69.0,179.0,81.0,98.0,2022,7
四十万町,873.0,2230.0,1110.0,1120.0,2022,7
三十苅町,681.0,1487.0,718.0,769.0,2022,7
額乙丸町,615.0,1459.0,685.0,774.0,2022,7
大額町,104.0,221.0,107.0,114.0,2022,7
額谷町,69.0,177.0,80.0,97.0,2022,8
四十万町,877.0,2242.0,1116.0,1126.0,2022,8
三十苅町,683.0,1485.0,716.0,769.0,2022,8
額乙丸町,617.0,1463.0,689.0,774.0,2022,8
大額町,104.0,221.0,107.0,114.0,2022,8
額谷町,69.0,176.0,79.0,97.0,2022,9
四十万町,873.0,2234.0,1112.0,1122.0,2022,9
三十苅町,681.0,1481.0,713.0,768.0,2022,9
額乙丸町,616.0,1462.0,691.0,771.0,2022,9
大額町,104.0,221.0,107.0,114.0,2022,9
額谷町,69.0,176.0,79.0,97.0,2022,10
四十万町,874.0,2240.0,1113.0,1127.0,2022,10
三十苅町,680.0,1478.0,713.0,765.0,2022,10
額乙丸町,615.0,1456.0,686.0,770.0,2022,10
大額町,104.0,220.0,106.0,114.0,2022,10
額谷町,69.0,176.0,79.0,97.0,2022,11
四十万町,873.0,2239.0,1113.0,1126.0,2022,11
三十苅町,680.0,1474.0,711.0,763.0,2022,11
額乙丸町,615.0,1451.0,685.0,766.0,2022,11
大額町,104.0,220.0,106.0,114.0,2022,11
額谷町,69.0,176.0,79.0,97.0,2022,12
四十万町,877.0,2248.0,1116.0,1132.0,2022,12
三十苅町,679.0,1471.0,711.0,760.0,2022,12
額乙丸町,613.0,1439.0,681.0,758.0,2022,12
大額町,104.0,219.0,105.0,114.0,2022,12
額谷町,69.0,176.0,79.0,97.0,2023,1
四十万町,875.0,2251.0,1116.0,1135.0,2023,1
三十苅町,677.0,1463.0,708.0,755.0,2023,1
額乙丸町,610.0,1436.0,679.0,757.0,2023,1
大額町,104.0,219.0,105.0,114.0,2023,1
額谷町,69.0,176.0,79.0,97.0,2023,2
四十万町,873.0,2246.0,1113.0,1133.0,2023,2
三十苅町,679.0,1467.0,708.0,759.0,2023,2
額乙丸町,612.0,1435.0,678.0,757.0,2023,2
大額町,104.0,219.0,105.0,114.0,2023,2
額谷町,68.0,174.0,78.0,96.0,2023,3
四十万町,871.0,2242.0,1114.0,1128.0,2023,3
三十苅町,679.0,1469.0,710.0,759.0,2023,3
額乙丸町,611.0,1430.0,677.0,753.0,2023,3
大額町,104.0,218.0,104.0,114.0,2023,3
額谷町,67.0,173.0,77.0,96.0,2023,4
四十万町,872.0,2231.0,1104.0,1127.0,2023,4
三十苅町,685.0,1473.0,714.0,759.0,2023,4
額乙丸町,615.0,1439.0,680.0,759.0,2023,4
大額町,105.0,219.0,105.0,114.0,2023,4
額谷町,67.0,173.0,77.0,96.0,2023,5
四十万町,877.0,2228.0,1102.0,1126.0,2023,5
三十苅町,683.0,1463.0,708.0,755.0,2023,5
額乙丸町,613.0,1431.0,676.0,755.0,2023,5
大額町,106.0,220.0,105.0,115.0,2023,5
額谷町,68.0,174.0,78.0,96.0,2023,6
四十万町,878.0,2223.0,1103.0,1120.0,2023,6
三十苅町,677.0,1455.0,703.0,752.0,2023,6
額乙丸町,617.0,1433.0,679.0,754.0,2023,6
大額町,106.0,220.0,105.0,115.0,2023,6
額谷町,68.0,174.0,78.0,96.0,2023,7
四十万町,876.0,2221.0,1102.0,1119.0,2023,7
三十苅町,678.0,1460.0,707.0,753.0,2023,7
額乙丸町,616.0,1428.0,676.0,752.0,2023,7
大額町,106.0,218.0,105.0,113.0,2023,7
額谷町,68.0,176.0,78.0,98.0,2023,8
四十万町,872.0,2213.0,1097.0,1116.0,2023,8
三十苅町,675.0,1459.0,707.0,752.0,2023,8
額乙丸町,617.0,1429.0,677.0,752.0,2023,8
大額町,106.0,218.0,105.0,113.0,2023,8
額谷町,69.0,178.0,79.0,99.0,2023,9
四十万町,874.0,2216.0,1099.0,1117.0,2023,9
三十苅町,672.0,1452.0,703.0,749.0,2023,9
額乙丸町,613.0,1422.0,673.0,749.0,2023,9
大額町,106.0,217.0,104.0,113.0,2023,9
額谷町,69.0,177.0,79.0,98.0,2023,10
四十万町,875.0,2218.0,1102.0,1116.0,2023,10
三十苅町,669.0,1444.0,699.0,745.0,2023,10
額乙丸町,612.0,1419.0,672.0,747.0,2023,10
大額町,106.0,217.0,104.0,113.0,2023,10
額谷町,69.0,177.0,79.0,98.0,2023,11
四十万町,872.0,2211.0,1099.0,1112.0,2023,11
三十苅町,667.0,1442.0,699.0,743.0,2023,11
額乙丸町,610.0,1419.0,673.0,746.0,2023,11
大額町,106.0,216.0,103.0,113.0,2023,11
額谷町,70.0,182.0,83.0,99.0,2023,12
四十万町,875.0,2217.0,1102.0,1115.0,2023,12
三十苅町,667.0,1441.0,699.0,742.0,2023,12
額乙丸町,610.0,1419.0,674.0,745.0,2023,12
大額町,105.0,215.0,102.0,113.0,2023,12
額谷町,71.0,186.0,85.0,101.0,2024,1
四十万町,877.0,2215.0,1101.0,1114.0,2024,1
三十苅町,671.0,1448.0,703.0,745.0,2024,1
額乙丸町,611.0,1422.0,676.0,746.0,2024,1
大額町,103.0,211.0,101.0,110.0,2024,1
額谷町,71.0,186.0,85.0,101.0,2024,2
四十万町,878.0,2214.0,1097.0,1117.0,2024,2
三十苅町,668.0,1441.0,700.0,741.0,2024,2
額乙丸町,610.0,1422.0,676.0,746.0,2024,2
大額町,104.0,212.0,102.0,110.0,2024,2
額谷町,71.0,186.0,85.0,101.0,2024,3
四十万町,881.0,2214.0,1096.0,1118.0,2024,3
三十苅町,670.0,1440.0,700.0,740.0,2024,3
額乙丸町,612.0,1424.0,678.0,746.0,2024,3
大額町,104.0,210.0,100.0,110.0,2024,3
額谷町,71.0,187.0,85.0,102.0,2024,4
四十万町,881.0,2209.0,1095.0,1114.0,2024,4
三十苅町,672.0,1436.0,696.0,740.0,2024,4
額乙丸町,618.0,1435.0,682.0,753.0,2024,4
大額町,105.0,211.0,101.0,110.0,2024,4
額谷町,71.0,187.0,85.0,102.0,2024,5
四十万町,886.0,2223.0,1102.0,1121.0,2024,5
三十苅町,671.0,1433.0,693.0,740.0,2024,5
額乙丸町,621.0,1434.0,684.0,750.0,2024,5
大額町,105.0,211.0,102.0,109.0,2024,5
額谷町,71.0,187.0,85.0,102.0,2024,6
四十万町,889.0,2224.0,1103.0,1121.0,2024,6
三十苅町,670.0,1429.0,691.0,738.0,2024,6
額乙丸町,618.0,1432.0,683.0,749.0,2024,6
大額町,105.0,211.0,102.0,109.0,2024,6
額谷町,71.0,187.0,85.0,102.0,2024,7
四十万町,892.0,2227.0,1103.0,1124.0,2024,7
三十苅町,670.0,1427.0,690.0,737.0,2024,7
額乙丸町,618.0,1432.0,683.0,749.0,2024,7
大額町,106.0,212.0,103.0,109.0,2024,7
額谷町,71.0,186.0,85.0,101.0,2024,8
四十万町,892.0,2225.0,1104.0,1121.0,2024,8
三十苅町,677.0,1433.0,693.0,740.0,2024,8
額乙丸町,616.0,1427.0,682.0,745.0,2024,8
大額町,108.0,214.0,103.0,111.0,2024,8
額谷町,71.0,186.0,85.0,101.0,2024,9
四十万町,894.0,2223.0,1103.0,1120.0,2024,9
三十苅町,675.0,1426.0,688.0,738.0,2024,9
額乙丸町,617.0,1425.0,681.0,744.0,2024,9
大額町,108.0,214.0,103.0,111.0,2024,9
額谷町,71.0,186.0,85.0,101.0,2024,10
四十万町,896.0,2221.0,1103.0,1118.0,2024,10
三十苅町,672.0,1424.0,688.0,736.0,2024,10
額乙丸町,619.0,1434.0,688.0,746.0,2024,10
大額町,108.0,213.0,103.0,110.0,2024,10
額谷町,71.0,186.0,85.0,101.0,2024,11
四十万町,899.0,2225.0,1106.0,1119.0,2024,11
三十苅町,670.0,1415.0,681.0,734.0,2024,11
額乙丸町,616.0,1426.0,684.0,742.0,2024,11
大額町,106.0,211.0,103.0,108.0,2024,11
額谷町,71.0,186.0,85.0,101.0,2024,12
四十万町,902.0,2222.0,1105.0,1117.0,2024,12
三十苅町,672.0,1419.0,684.0,735.0,2024,12
額乙丸町,623.0,1431.0,688.0,743.0,2024,12
大額町,105.0,213.0,106.0,107.0,2024,12
