統計区・町丁名,世帯数,人口,男,女,年,月
三十苅町,681.0,1675.0,797.0,878.0,2014,7
額乙丸町,543.0,1411.0,668.0,743.0,2014,7
大額町,113.0,266.0,124.0,142.0,2014,7
額谷町,69.0,189.0,89.0,100.0,2014,8
四十万町,790.0,2143.0,1037.0,1106.0,2014,8
三十苅町,680.0,1671.0,797.0,874.0,2014,8
額乙丸町,593.0,1462.0,684.0,778.0,2014,8
大額町,113.0,264.0,124.0,140.0,2014,8
額谷町,69.0,188.0,88.0,100.0,2014,9
四十万町,790.0,2142.0,1036.0,1106.0,2014,9
三十苅町,680.0,1673.0,800.0,873.0,2014,9
額乙丸町,557.0,1428.0,675.0,753.0,2014,9
大額町,113.0,265.0,125.0,140.0,2014,9
額谷町,69.0,188.0,88.0,100.0,2014,10
四十万町,793.0,2141.0,1034.0,1107.0,2014,10
三十苅町,681.0,1667.0,800.0,867.0,2014,10
額乙丸町,566.0,1437.0,693.0,744.0,2014,10
大額町,112.0,265.0,125.0,140.0,2014,10
額谷町,68.0,187.0,87.0,100.0,2014,11
四十万町,794.0,2148.0,1037.0,1111.0,2014,11
三十苅町,681.0,1660.0,796.0,864.0,2014,11
額乙丸町,539.0,1410.0,668.0,742.0,2014,11
大額町,110.0,257.0,122.0,135.0,2014,11
額谷町,69.0,190.0,88.0,102.0,2014,12
四十万町,797.0,2152.0,1040.0,1112.0,2014,12
三十苅町,682.0,1662.0,798.0,864.0,2014,12
額乙丸町,543.0,1418.0,671.0,747.0,2014,12
大額町,111.0,261.0,123.0,138.0,2014,12
額谷町,69.0,190.0,88.0,102.0,2015,1
四十万町,799.0,2154.0,1041.0,1113.0,2015,1
三十苅町,681.0,1658.0,796.0,862.0,2015,1
額乙丸町,547.0,1425.0,675.0,750.0,2015,1
大額町,110.0,261.0,124.0,137.0,2015,1
額谷町,69.0,190.0,88.0,102.0,2015,2
四十万町,800.0,2153.0,1043.0,1110.0,2015,2
三十苅町,680.0,1656.0,793.0,863.0,2015,2
額乙丸町,604.0,1484.0,688.0,796.0,2015,2
大額町,109.0,260.0,124.0,136.0,2015,2
額谷町,69.0,190.0,88.0,102.0,2015,3
四十万町,804.0,2164.0,1049.0,1115.0,2015,3
三十苅町,680.0,1648.0,791.0,857.0,2015,3
額乙丸町,601.0,1482.0,686.0,796.0,2015,3
大額町,109.0,260.0,124.0,136.0,2015,3
額谷町,70.0,193.0,90.0,103.0,2015,4
四十万町,805.0,2160.0,1042.0,1118.0,2015,4
三十苅町,680.0,1631.0,784.0,847.0,2015,4
額乙丸町,594.0,1470.0,689.0,781.0,2015,4
大額町,107.0,257.0,124.0,133.0,2015,4
額谷町,70.0,193.0,89.0,104.0,2015,5
四十万町,809.0,2159.0,1041.0,1118.0,2015,5
三十苅町,678.0,1623.0,777.0,846.0,2015,5
額乙丸町,558.0,1430.0,675.0,755.0,2015,5
大額町,107.0,255.0,125.0,130.0,2015,5
額谷町,70.0,193.0,89.0,104.0,2015,6
四十万町,813.0,2165.0,1045.0,1120.0,2015,6
三十苅町,676.0,1616.0,772.0,844.0,2015,6
